hasLoan,hasCreditCard,currentBalance,loanPendingMonths,creditCardLimit,creditCardUsed,creditCardOverduePayment,score,classification
0,1,-689,0,3491,855,0,350,C
0,0,2246,0,0,0,0,500,A
0,1,-1413,0,1847,1044,0,350,C
1,1,4019,14,493,75,0,300,C
1,0,3666,19,0,0,0,350,C
0,1,3764,0,2945,37,0,450,B
1,1,2572,22,1939,1477,0,250,D
0,1,6184,0,1741,1227,0,450,B
0,0,8434,0,0,0,0,500,A
1,0,-697,4,0,0,0,300,C
1,0,5461,12,0,0,0,400,B
0,1,813,0,2319,741,0,450,B
1,0,5790,23,0,0,0,350,C
1,0,4033,9,0,0,0,400,B
1,1,2471,13,1143,383,0,300,C
1,0,4721,3,0,0,0,400,B
1,0,7045,32,0,0,0,350,C
0,1,8757,0,2212,313,1,300,C
1,0,7379,25,0,0,0,350,C
1,1,7487,14,3264,1341,0,300,C
1,1,-89,34,2077,496,1,50,F
1,1,6225,21,994,386,0,300,C
0,0,7410,0,0,0,0,500,A
0,1,1878,0,2744,935,0,450,B
0,1,9599,0,81,34,1,300,C
1,0,183,24,0,0,0,350,C
0,1,7467,0,2155,367,1,300,C
1,0,5415,9,0,0,0,400,B
0,0,5700,0,0,0,0,500,A
1,0,2271,9,0,0,0,400,B
0,1,-1748,0,313,49,1,150,E
0,0,-1870,0,0,0,0,400,B
0,0,8948,0,0,0,0,500,A
0,1,4197,0,1663,1109,0,450,B
1,1,631,11,720,104,1,200,D
1,0,2455,32,0,0,0,350,C
0,1,9490,0,1079,426,0,450,B
0,1,-1389,0,1198,760,0,300,C
0,0,3081,0,0,0,0,500,A
0,1,9467,0,2436,2065,0,450,B
0,0,5840,0,0,0,0,500,A
0,1,-365,0,1401,1109,0,300,C
0,1,3932,0,488,329,1,300,C
0,1,382,0,2411,815,0,450,B
0,0,2073,0,0,0,0,500,A
1,0,7323,11,0,0,0,400,B
0,0,6697,0,0,0,0,500,A
0,0,-116,0,0,0,0,400,B
1,1,5007,15,808,570,0,300,C
0,1,2902,0,2986,1111,0,450,B
1,0,2413,30,0,0,0,350,C
0,0,1176,0,0,0,0,500,A
1,1,966,24,1965,138,0,300,C
1,0,684,35,0,0,0,350,C
1,1,8384,34,1528,480,0,300,C
0,0,6239,0,0,0,0,500,A
1,0,4601,9,0,0,0,400,B
0,1,1838,0,1688,66,0,450,B
1,0,377,3,0,0,0,400,B
0,1,5972,0,2986,517,1,300,C
1,0,8552,29,0,0,0,350,C
0,1,957,0,432,140,1,300,C
0,0,-988,0,0,0,0,400,B
0,0,2816,0,0,0,0,500,A
0,0,2717,0,0,0,0,500,A
1,1,6423,23,3222,1394,1,150,E
1,0,6470,36,0,0,0,350,C
0,1,-416,0,2464,2295,0,300,C
0,0,1066,0,0,0,0,500,A
0,0,6776,0,0,0,0,500,A
0,0,9539,0,0,0,0,500,A
0,0,6595,0,0,0,0,500,A
0,0,5287,0,0,0,0,500,A
0,1,9873,0,1383,880,0,450,B
1,1,8802,34,3060,2276,1,150,E
1,1,4161,11,1104,516,0,350,C
0,0,-1651,0,0,0,0,400,B
0,0,7557,0,0,0,0,500,A
1,1,700,21,68,26,0,300,C
1,0,8725,16,0,0,0,350,C
0,1,7463,0,1843,799,0,450,B
0,1,1809,0,1103,886,0,450,B
1,1,9522,24,390,153,1,150,E
1,0,2373,8,0,0,0,400,B
0,1,-1150,0,3311,885,1,200,D
0,1,9274,0,2947,2850,1,300,C
0,1,8722,0,756,524,0,450,B
0,0,-1306,0,0,0,0,400,B
0,0,2196,0,0,0,0,500,A
1,1,4213,6,2103,1514,0,350,C
1,1,8374,23,2132,1658,1,150,E
1,0,-326,3,0,0,0,300,C
0,1,-831,0,945,376,0,350,C
0,0,3461,0,0,0,0,500,A
0,1,9662,0,3321,120,0,450,B
1,0,502,23,0,0,0,350,C
0,0,2599,0,0,0,0,500,A
1,1,8643,1,3233,2630,0,350,C
0,0,7478,0,0,0,0,500,A
0,1,7977,0,2461,2200,1,300,C
0,0,7755,0,0,0,0,500,A
1,1,-198,32,561,531,0,150,E
1,0,8936,22,0,0,0,350,C
1,1,4633,25,222,216,0,300,C
1,1,5642,34,906,588,0,300,C
0,1,8174,0,1342,438,1,300,C
1,0,9721,23,0,0,0,350,C
0,1,5191,0,2826,2286,0,450,B
1,1,9258,10,3455,3348,0,350,C
0,0,-860,0,0,0,0,400,B
0,1,6979,0,3477,571,1,300,C
1,1,9748,33,1763,1238,0,300,C
1,1,882,2,2115,1734,1,150,E
0,1,7835,0,3056,586,1,300,C
1,0,-790,22,0,0,0,250,D
0,0,2926,0,0,0,0,500,A
1,1,5645,31,2328,1799,0,300,C
0,1,9501,0,2125,574,1,300,C
1,1,2414,22,1052,441,0,300,C
1,1,9636,19,1347,228,0,300,C
0,0,-928,0,0,0,0,400,B
1,0,-532,17,0,0,0,250,D
1,1,9536,6,3259,955,1,200,D
1,1,9462,26,967,553,1,150,E
0,0,6952,0,0,0,0,500,A
0,1,5758,0,2155,289,1,300,C
0,0,9591,0,0,0,0,500,A
1,1,-1194,2,126,80,1,50,F
0,0,-1224,0,0,0,0,400,B
0,0,9948,0,0,0,0,500,A
0,0,7278,0,0,0,0,500,A
1,0,8642,27,0,0,0,350,C
1,1,4041,23,1342,1152,0,300,C
1,1,9736,2,75,69,1,200,D
0,0,1210,0,0,0,0,500,A
0,1,1111,0,1828,1160,0,450,B
1,1,1588,24,975,503,1,150,E
1,1,1189,19,2665,1446,0,300,C
0,1,4965,0,1094,798,0,450,B
0,0,4505,0,0,0,0,500,A
0,0,1639,0,0,0,0,500,A
1,1,3702,5,1565,1373,1,200,D
0,0,-1143,0,0,0,0,400,B
0,1,2993,0,772,82,1,300,C
1,0,1602,2,0,0,0,400,B
1,0,-1434,11,0,0,0,300,C
0,0,859,0,0,0,0,500,A
0,0,5316,0,0,0,0,500,A
0,0,1215,0,0,0,0,500,A
0,0,8272,0,0,0,0,500,A
0,1,5190,0,354,152,0,450,B
1,1,2111,6,3122,2569,0,350,C
1,1,-636,12,1275,1232,1,50,F
1,1,7858,3,3161,1364,0,350,C
0,0,8951,0,0,0,0,500,A
0,1,-1989,0,879,826,0,300,C
0,0,3951,0,0,0,0,500,A
1,1,1866,20,705,403,1,150,E
0,0,9169,0,0,0,0,500,A
1,0,9983,35,0,0,0,350,C
0,1,-865,0,1783,1687,0,300,C
1,0,9763,8,0,0,0,400,B
1,0,2651,31,0,0,0,350,C
1,1,1086,3,662,146,0,350,C
0,0,6511,0,0,0,0,500,A
0,1,9526,0,3480,200,0,450,B
1,0,7217,21,0,0,0,350,C
1,1,-540,29,1933,178,1,50,F
1,0,7710,20,0,0,0,350,C
1,1,1550,5,1285,102,1,200,D
1,1,-160,22,9,4,1,0,F
1,0,3603,9,0,0,0,400,B
1,1,9953,15,385,354,0,300,C
1,1,8904,8,959,322,1,200,D
1,1,9908,23,2786,1022,1,150,E
1,0,3861,31,0,0,0,350,C
1,1,-654,14,302,55,1,0,F
0,1,5905,0,1259,725,0,450,B
1,1,-510,16,1119,148,1,50,F
1,1,4009,7,3393,214,1,200,D
0,0,7936,0,0,0,0,500,A
0,1,5532,0,1250,124,1,300,C
0,0,6654,0,0,0,0,500,A
1,0,4,19,0,0,0,350,C
0,0,4047,0,0,0,0,500,A
0,0,5018,0,0,0,0,500,A
1,1,5923,22,1511,1445,0,300,C
1,0,6941,25,0,0,0,350,C
0,0,305,0,0,0,0,500,A
1,0,5491,26,0,0,0,350,C
1,0,101,30,0,0,0,350,C
1,1,-748,6,90,41,0,200,D
1,1,9132,19,3395,2490,1,150,E
1,1,7345,36,2964,1875,0,300,C
0,1,5833,0,2852,205,1,300,C
1,1,953,15,2637,805,0,300,C
0,0,6816,0,0,0,0,500,A
1,0,-1058,17,0,0,0,250,D
1,0,2265,6,0,0,0,400,B
0,0,922,0,0,0,0,500,A
0,1,-534,0,2218,1674,1,200,D
1,0,3836,14,0,0,0,350,C
0,1,1860,0,1428,1296,0,400,B
1,1,3235,20,2755,1690,1,150,E
0,0,5529,0,0,0,0,500,A
1,1,1442,9,1843,711,0,350,C
1,0,7018,8,0,0,0,400,B
1,1,4727,22,2951,161,1,150,E
0,1,-678,0,1031,38,1,200,D
0,1,1549,0,1977,1259,0,450,B
0,1,100,0,674,503,1,250,D
0,1,6639,0,161,134,1,300,C
1,1,1237,17,3137,895,1,150,E
1,1,7893,34,2598,955,0,300,C
1,1,2390,34,2681,2506,0,250,D
1,1,-1342,31,1999,1866,0,150,E
1,1,9714,1,1852,626,1,200,D
1,0,9865,17,0,0,0,350,C
1,1,986,27,2,1,0,300,C
0,0,9489,0,0,0,0,500,A
0,0,7723,0,0,0,0,500,A
0,0,-96,0,0,0,0,400,B
1,1,5323,14,419,68,1,150,E
1,0,-1812,20,0,0,0,250,D
0,1,-1081,0,54,36,1,150,E
0,0,-1139,0,0,0,0,400,B
1,0,-222,6,0,0,0,300,C
1,0,-93,22,0,0,0,250,D
1,0,7377,26,0,0,0,350,C
1,1,9661,10,2926,2765,1,200,D
1,0,286,23,0,0,0,350,C
1,1,-1387,35,1630,1119,0,200,D
1,0,3481,14,0,0,0,350,C
0,0,9163,0,0,0,0,500,A
1,0,864,35,0,0,0,350,C
0,1,9832,0,1604,962,1,300,C
0,1,5784,0,1948,923,1,300,C
1,0,2925,10,0,0,0,400,B
0,0,5298,0,0,0,0,500,A
0,1,9080,0,2654,2159,1,300,C
1,0,-239,14,0,0,0,250,D
0,1,7543,0,1636,804,1,300,C
1,0,-1336,6,0,0,0,300,C
0,1,6931,0,600,446,1,300,C
1,0,6334,15,0,0,0,350,C
0,1,9379,0,2758,16,1,300,C
0,0,7844,0,0,0,0,500,A
0,1,5439,0,3285,269,1,300,C
1,0,4405,19,0,0,0,350,C
1,1,-1459,11,1736,111,1,100,E
1,0,6625,2,0,0,0,400,B
1,1,9388,31,2828,2696,1,150,E
1,0,172,26,0,0,0,350,C
1,0,2584,34,0,0,0,350,C
0,0,-136,0,0,0,0,400,B
1,0,7752,28,0,0,0,350,C
0,0,6666,0,0,0,0,500,A
1,1,2024,16,1150,11,1,150,E
1,1,7216,35,2384,562,0,300,C
1,1,6828,3,688,462,1,200,D
1,0,7426,20,0,0,0,350,C
0,1,496,0,1627,1057,0,450,B
0,0,4213,0,0,0,0,500,A
1,0,-538,9,0,0,0,300,C
1,1,1955,24,284,9,1,150,E
0,0,-735,0,0,0,0,400,B
1,0,4819,5,0,0,0,400,B
0,1,8429,0,2534,226,0,450,B
1,0,7375,9,0,0,0,400,B
1,0,8398,1,0,0,0,400,B
0,1,-371,0,3178,2735,0,300,C
1,0,115,24,0,0,0,350,C
0,0,4296,0,0,0,0,500,A
0,0,9539,0,0,0,0,500,A
1,1,17,18,473,172,1,100,E
0,0,5300,0,0,0,0,500,A
0,0,1129,0,0,0,0,500,A
0,0,-1054,0,0,0,0,400,B
0,1,4064,0,2108,724,1,300,C
1,1,2479,34,1521,1061,0,300,C
0,1,5623,0,1011,838,0,450,B
1,0,8467,20,0,0,0,350,C
0,0,4492,0,0,0,0,500,A
1,0,3813,30,0,0,0,350,C
0,0,6263,0,0,0,0,500,A
0,0,-1671,0,0,0,0,400,B
0,1,2352,0,1036,257,0,450,B
1,0,4289,3,0,0,0,400,B
0,0,4890,0,0,0,0,500,A
0,1,8758,0,1176,274,1,300,C
0,0,4507,0,0,0,0,500,A
1,0,103,12,0,0,0,400,B
1,1,4790,15,46,32,1,150,E
1,0,504,28,0,0,0,350,C
0,1,7272,0,2375,669,0,450,B
1,0,5544,3,0,0,0,400,B
0,0,-1423,0,0,0,0,400,B
1,0,2694,3,0,0,0,400,B
0,0,4142,0,0,0,0,500,A
1,1,3479,32,1448,1277,0,300,C
1,0,5778,12,0,0,0,400,B
0,1,756,0,2011,1598,0,400,B
1,0,4208,21,0,0,0,350,C
0,0,6968,0,0,0,0,500,A
0,0,4217,0,0,0,0,500,A
0,0,-63,0,0,0,0,400,B
0,1,1235,0,381,210,1,300,C
1,1,9967,7,3463,1943,0,350,C
0,1,4584,0,2208,2144,0,450,B
1,1,1118,32,2587,769,1,150,E
1,0,8679,3,0,0,0,400,B
1,1,3858,9,1509,1407,0,350,C
0,1,-556,0,556,123,0,300,C
0,0,2551,0,0,0,0,500,A
1,1,1950,35,1424,755,1,150,E
1,1,8788,5,2817,382,1,200,D
1,1,9487,26,2779,1621,0,300,C
0,1,7774,0,647,39,1,300,C
1,1,-1976,15,2877,1137,1,50,F
0,0,5285,0,0,0,0,500,A
1,0,411,17,0,0,0,350,C
0,0,1324,0,0,0,0,500,A
1,1,7871,34,1764,280,0,300,C
0,0,8605,0,0,0,0,500,A
0,0,749,0,0,0,0,500,A
1,0,7839,31,0,0,0,350,C
0,0,696,0,0,0,0,500,A
0,1,1684,0,3343,2014,1,300,C
1,1,2848,32,1655,151,1,150,E
0,1,-1313,0,45,11,0,300,C
0,1,2404,0,804,220,1,300,C
0,1,9260,0,641,54,0,450,B
1,1,-1351,30,2585,833,1,50,F
0,0,2293,0,0,0,0,500,A
1,1,7355,11,2589,1032,1,200,D
0,1,9755,0,675,381,1,300,C
1,1,999,34,2281,89,1,150,E
1,0,2099,4,0,0,0,400,B
1,1,130,28,1251,1246,0,250,D
0,0,7907,0,0,0,0,500,A
0,0,9006,0,0,0,0,500,A
0,0,6518,0,0,0,0,500,A
1,0,7575,35,0,0,0,350,C
0,1,7908,0,401,193,1,300,C
1,1,1814,11,1788,1612,1,150,E
0,0,5129,0,0,0,0,500,A
0,1,-373,0,2905,1934,0,350,C
0,1,1621,0,1729,916,1,300,C
0,0,4894,0,0,0,0,500,A
1,1,8235,12,1086,130,1,200,D
0,0,9717,0,0,0,0,500,A
0,1,8289,0,1793,282,0,450,B
0,1,3269,0,794,311,0,450,B
0,1,1095,0,1511,1116,1,250,D
1,0,7433,30,0,0,0,350,C
0,0,9325,0,0,0,0,500,A
1,1,6102,8,2966,2248,1,200,D
0,0,4718,0,0,0,0,500,A
0,0,7835,0,0,0,0,500,A
0,1,855,0,2675,1252,1,300,C
0,0,5369,0,0,0,0,500,A
1,1,9328,24,940,827,0,300,C
1,1,8622,31,2743,879,1,150,E
1,0,1735,1,0,0,0,400,B
1,1,6436,22,2097,682,1,150,E
1,0,-1894,5,0,0,0,300,C
1,0,-1262,34,0,0,0,250,D
0,1,7503,0,3047,1400,0,450,B
1,0,7644,9,0,0,0,400,B
1,0,8014,20,0,0,0,350,C
1,1,3703,21,2021,123,1,150,E
1,0,2275,26,0,0,0,350,C
1,1,9573,11,151,105,0,350,C
0,1,7595,0,887,316,1,300,C
0,0,2421,0,0,0,0,500,A
1,1,-480,7,1219,298,1,100,E
1,0,1674,34,0,0,0,350,C
1,1,4619,24,2833,1471,1,150,E
0,0,2651,0,0,0,0,500,A
1,1,8098,25,2280,450,0,300,C
1,0,-1223,14,0,0,0,250,D
1,1,5503,6,848,439,0,350,C
0,1,-152,0,3182,1176,1,200,D
0,1,6453,0,1907,1376,1,300,C
1,1,9109,16,725,673,0,300,C
1,0,5862,9,0,0,0,400,B
0,0,2199,0,0,0,0,500,A
0,0,6772,0,0,0,0,500,A
1,0,9080,27,0,0,0,350,C
1,1,3696,35,1038,785,0,300,C
0,0,9872,0,0,0,0,500,A
0,0,-1540,0,0,0,0,400,B
1,0,7545,13,0,0,0,350,C
0,0,-1249,0,0,0,0,400,B
1,1,7385,15,2358,766,0,300,C
1,0,-1266,17,0,0,0,250,D
1,1,5369,21,1576,1576,0,300,C
1,1,5222,27,2378,2241,1,150,E
0,1,6277,0,2800,1839,0,450,B
0,0,1954,0,0,0,0,500,A
0,0,4608,0,0,0,0,500,A
0,1,8539,0,2187,1772,0,450,B
0,0,8603,0,0,0,0,500,A
1,1,-1866,27,2449,600,0,200,D
1,0,7491,23,0,0,0,350,C
1,1,4493,36,1971,1468,1,150,E
1,0,9936,14,0,0,0,350,C
0,1,1717,0,1911,481,0,450,B
0,1,1552,0,1676,1243,0,400,B
1,1,4419,2,553,66,1,200,D
1,0,-571,28,0,0,0,250,D
1,0,274,2,0,0,0,400,B
0,0,8022,0,0,0,0,500,A
1,1,6527,26,2480,10,0,300,C
0,0,2613,0,0,0,0,500,A
1,0,-981,14,0,0,0,250,D
1,0,-679,14,0,0,0,250,D
1,1,6587,17,1727,859,0,300,C
1,1,-1074,7,1173,434,1,100,E
1,0,-38,6,0,0,0,300,C
1,1,7000,29,243,220,0,300,C
1,0,4094,13,0,0,0,350,C
1,0,4663,33,0,0,0,350,C
1,0,1371,20,0,0,0,350,C
1,0,9153,36,0,0,0,350,C
1,1,7198,21,3189,1184,0,300,C
0,1,-635,0,1787,767,1,200,D
1,0,8267,23,0,0,0,350,C
1,1,-616,34,928,552,0,150,E
0,0,7744,0,0,0,0,500,A
1,1,-940,14,1345,823,1,50,F
0,0,-188,0,0,0,0,400,B
0,0,-648,0,0,0,0,400,B
1,1,6884,5,2928,2178,0,350,C
1,0,2010,26,0,0,0,350,C
0,1,6586,0,1665,1394,0,450,B
0,0,4270,0,0,0,0,500,A
0,0,3691,0,0,0,0,500,A
0,0,-461,0,0,0,0,400,B
1,0,3285,19,0,0,0,350,C
1,0,6910,8,0,0,0,400,B
1,0,8314,29,0,0,0,350,C
0,0,9543,0,0,0,0,500,A
1,0,725,1,0,0,0,400,B
0,1,2796,0,1142,373,0,450,B
1,0,-193,9,0,0,0,300,C
0,1,-927,0,1782,969,0,350,C
1,1,5902,11,2788,2539,1,200,D
0,0,6120,0,0,0,0,500,A
0,0,1968,0,0,0,0,500,A
0,1,-1533,0,141,6,1,150,E
1,0,-702,26,0,0,0,250,D
0,0,3640,0,0,0,0,500,A
1,0,2624,5,0,0,0,400,B
0,0,-633,0,0,0,0,400,B
1,1,-860,31,1243,355,1,50,F
1,0,1084,27,0,0,0,350,C
0,1,518,0,3104,1414,0,450,B
0,0,9518,0,0,0,0,500,A
0,0,3602,0,0,0,0,500,A
0,0,7483,0,0,0,0,500,A
0,1,-972,0,2853,2629,0,300,C
0,0,-260,0,0,0,0,400,B
0,0,4939,0,0,0,0,500,A
0,1,3938,0,898,244,0,450,B
1,1,7110,6,2313,353,1,200,D
1,1,9775,9,335,316,0,350,C
1,1,8229,32,193,51,1,150,E
1,1,2991,20,2836,2237,1,150,E
0,1,4898,0,3210,2477,1,300,C
0,0,6502,0,0,0,0,500,A
1,0,6872,13,0,0,0,350,C
0,0,6140,0,0,0,0,500,A
0,0,8881,0,0,0,0,500,A
0,1,4273,0,232,21,0,450,B
1,1,2295,25,697,111,0,300,C
0,0,4077,0,0,0,0,500,A
1,0,2167,24,0,0,0,350,C
0,0,-349,0,0,0,0,400,B
1,1,4619,30,1028,644,1,150,E
0,1,3369,0,722,718,1,300,C
0,0,1715,0,0,0,0,500,A
1,1,9000,28,2454,1743,0,300,C
0,0,2395,0,0,0,0,500,A
0,1,2159,0,858,60,1,300,C
0,1,9884,0,3492,1599,0,450,B
0,1,469,0,1934,360,0,450,B
1,1,-1526,8,2628,582,1,100,E
1,0,3338,16,0,0,0,350,C
1,1,5478,24,103,98,1,150,E
1,0,538,4,0,0,0,400,B
1,1,7711,27,760,427,1,150,E
1,1,-1340,7,2604,2458,0,200,D
1,0,4742,20,0,0,0,350,C
0,0,4482,0,0,0,0,500,A
1,1,7314,22,2474,2050,0,300,C
1,1,5155,17,824,595,1,150,E
0,1,588,0,3023,2275,1,300,C
1,1,7114,13,3409,3374,0,300,C
0,0,6958,0,0,0,0,500,A
0,1,-615,0,725,202,0,350,C
0,0,2590,0,0,0,0,500,A
0,0,9060,0,0,0,0,500,A
1,0,9166,2,0,0,0,400,B
1,0,3152,31,0,0,0,350,C
